datetime,temp
2023-04-18,11.5
2023-04-19,13.6
2023-04-20,9.7
2023-04-21,9
2023-04-22,11.5
2023-04-23,11.4
2023-04-24,10.5
2023-04-25,9
2023-04-26,10
2023-04-27,14.3
2023-04-28,17.3
2023-04-29,12.6
2023-04-30,13.4
2023-05-01,13
2023-05-02,13.7
2023-05-03,15.2
2023-05-04,17.8
2023-05-05,16.2
2023-05-06,16.2
2023-05-07,15.6
2023-05-08,15.1
2023-05-09,14.6
2023-05-10,13.3
2023-05-11,13.3
2023-05-12,12.2
2023-05-13,15.4
2023-05-14,13.8
2023-05-15,12.3
2023-05-16,11.9
2023-05-17,13.4
2023-05-18,13.3
2023-05-19,14.8
2023-05-20,16.4
2023-05-21,17.5
2023-05-22,16.9
2023-05-23,15.1
2023-05-24,14.2
2023-05-25,16.7
2023-05-26,17.2
2023-05-27,18.6
2023-05-28,20.5
2023-05-29,19
2023-05-30,17.5
2023-05-31,19.6
2023-06-01,20.7
2023-06-02,15.8
2023-06-03,18.6
2023-06-04,20.6
2023-06-05,20.2
2023-06-06,19.6
2023-06-07,21.3
2023-06-08,22.2
2023-06-09,24.6
2023-06-10,23.8
2023-06-11,22.5
2023-06-12,21.6
2023-06-13,24
2023-06-14,24
2023-06-15,23.5
2023-06-16,24.1
2023-06-17,24.7
2023-06-18,22.6
2023-06-19,20.5
2023-06-20,22.2
2023-06-21,22.8
2023-06-22,20.5
2023-06-23,22.2
2023-06-24,24
2023-06-25,26.8
2023-06-26,20.3
2023-06-27,20
2023-06-28,21.4
2023-06-29,21.6
2023-06-30,19.8
2023-07-01,19.5
2023-07-02,19
2023-07-03,19.9
2023-07-04,18.8
2023-07-05,16.9
2023-07-06,20.1
2023-07-07,24
2023-07-08,27.1
2023-07-09,24.1
2023-07-10,23.6
2023-07-11,25.1
2023-07-12,21.1
2023-07-13,20
2023-07-14,23.8
2023-07-15,22.7
2023-07-16,20.2
2023-07-17,19.9
2023-07-18,22.5
2023-07-19,21
2023-07-20,20.4
2023-07-21,19.8
2023-07-22,20
2023-07-23,20.5
2023-07-24,19.6
2023-07-25,16.9
2023-07-26,18
2023-07-27,19.5
2023-07-28,20.3
2023-07-29,20.6
2023-07-30,19.3
2023-07-31,18.8
2023-08-01,19
2023-08-02,19.9
2023-08-03,17
2023-08-04,17.5
2023-08-05,16
2023-08-06,16.3
2023-08-07,17.2
2023-08-08,19.3
2023-08-09,19.8
2023-08-10,21.9
2023-08-11,21.8
2023-08-12,21.3
2023-08-13,20.2
2023-08-14,21.2
2023-08-15,21.2
2023-08-16,22.1
2023-08-17,23.5
2023-08-18,24.9
2023-08-19,24.3
2023-08-20,24.4
2023-08-21,23.2
2023-08-22,24.6
2023-08-23,24.8
2023-08-24,23.9
2023-08-25,20.7
2023-08-26,17.8
2023-08-27,16.5
2023-08-28,16.5
2023-08-29,16.9
2023-08-30,16.7
2023-08-31,16.4
2023-09-01,19.7
2023-09-02,22.4
2023-09-03,24.6
2023-09-04,24.2
2023-09-05,25.7
2023-09-06,26.2
2023-09-07,24.9
2023-09-08,27
2023-09-09,27.7
2023-09-10,27.4
2023-09-11,23.8
2023-09-12,19.3
2023-09-13,19.1
2023-09-14,19.4
2023-09-15,20.7
2023-09-16,20.8
2023-09-17,21.2
2023-09-18,19.3
2023-09-19,17.2
2023-09-20,19.9
2023-09-21,16.9
2023-09-22,13.9
2023-09-23,13.7
2023-09-24,14.3
2023-09-25,16.6
2023-09-26,18.9
2023-09-27,19.8
2023-09-28,19.7
2023-09-29,19.2
2023-09-30,16.3
2023-10-01,18.9
2023-10-02,20.7
2023-10-03,18.8
2023-10-04,14.2
2023-10-05,14.7
2023-10-06,14.7
2023-10-07,16.7
